NEIGHBOURHOOD_NAME,0,1,2,3,4,5,6,7,8,9,10
ARBUTUS RIDGE,9,1552,1370,1301,712,321,273,181,99,34,25
DOWNTOWN,212,1887,2447,1769,1858,760,516,408,314,272,563
DUNBAR-SOUTHLANDS,11,2335,2446,1443,1130,979,773,481,207,53,41
FAIRVIEW,13,998,1036,830,1042,421,236,81,33,15,7
GRANDVIEW-WOODLAND,12,1944,1700,1273,1119,421,226,84,45,25,0
HASTINGS-SUNRISE,36,3884,3133,2247,1994,966,497,282,109,42,61
KENSINGTON-CEDAR COTTAGE,30,3456,3198,2062,2260,869,465,188,142,56,90
KERRISDALE,37,2058,2282,1240,1125,1018,619,421,260,151,130
KILLARNEY,42,2119,2380,1458,1468,498,300,180,79,88,86
KITSILANO,94,1599,2090,1679,1882,1192,857,467,163,70,28
MARPOLE,13,2260,2298,1265,1155,437,201,115,90,72,53
MOUNT PLEASANT,3,1771,1733,1589,1281,343,157,69,38,15,0
OAKRIDGE,67,1915,2301,1138,760,556,293,187,81,66,62
RENFREW-COLLINGWOOD,38,5056,3310,2085,1753,554,194,125,51,15,32
RILEY PARK,42,2238,2560,1576,1594,607,424,256,186,112,242
SHAUGHNESSY,48,1696,2061,1169,1233,1089,869,564,254,151,201
SOUTH CAMBIE,22,1020,1234,467,499,242,192,98,41,19,31
STRATHCONA,11,1109,812,515,547,232,106,55,32,27,38
SUNSET,59,3182,2549,1470,1396,405,164,102,66,133,164
VICTORIA-FRASERVIEW,34,3287,2314,1599,1147,359,115,73,10,7,28
WEST END,7,801,993,924,708,404,187,90,44,16,11
WEST POINT GREY,53,1233,1321,1005,955,751,574,342,136,91,128
